E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
1.5239032437e+00,1.6144330888e+00,1.5685151644e+00,2.5239568620e-03,4.4812118362e-05
1.6144330888e+00,1.7103410003e+00,1.6616952501e+00,2.6067145029e-03,4.4397153720e-05
1.7103410003e+00,1.8119464707e+00,1.7604108439e+00,2.6225732132e-03,4.6317494138e-05
1.8119464707e+00,1.9195879722e+00,1.8649907912e+00,2.7762274832e-03,4.7656357879e-05
1.9195879722e+00,2.0336240847e+00,1.9757834732e+00,2.6591309888e-03,5.0333295287e-05
2.0336240847e+00,2.1544346900e+00,2.0931579669e+00,2.7536190925e-03,4.2899323404e-05
2.1544346900e+00,2.2824222375e+00,2.2175052753e+00,2.8704595669e-03,4.6080934170e-05
2.2824222375e+00,2.4180130845e+00,2.3492396290e+00,2.9450499277e-03,4.3690869176e-05
2.4180130845e+00,2.5616589169e+00,2.4887998673e+00,2.9511244913e-03,5.2619908069e-05
2.5616589169e+00,2.7138382537e+00,2.6366508987e+00,2.9712683417e-03,5.1650042756e-05
2.7138382537e+00,2.8750580409e+00,2.7932852509e+00,3.0563225000e-03,4.8275572642e-05
2.8750580409e+00,3.0458553407e+00,2.9592247108e+00,3.0418654619e-03,4.1814799161e-05
3.0458553407e+00,3.2267991199e+00,3.1350220626e+00,3.2087661931e-03,5.4707856677e-05
3.2267991199e+00,3.4184921462e+00,3.3212629298e+00,3.3132317434e-03,4.1526518429e-05
3.4184921462e+00,3.6215729951e+00,3.5185677257e+00,3.2353581845e-03,5.0880906339e-05
3.6215729951e+00,3.8367181781e+00,3.7275937203e+00,3.3919497916e-03,4.8396740755e-05
3.8367181781e+00,4.0646443957e+00,3.9490372296e+00,3.6013632064e-03,5.8729589088e-05
4.0646443957e+00,4.3061109252e+00,4.1836359353e+00,3.6581372558e-03,5.5243541841e-05
4.3061109252e+00,4.5619221498e+00,4.4321713425e+00,3.6088534447e-03,5.2308042118e-05
4.5619221498e+00,4.8329302386e+00,4.6954713825e+00,3.6665023782e-03,5.3486804229e-05
4.8329302386e+00,5.1200379848e+00,4.9744131714e+00,3.7467053323e-03,4.5353841289e-05
5.1200379848e+00,5.4242018138e+00,5.2699259316e+00,3.8427179012e-03,5.4832690308e-05
5.4242018138e+00,5.7464349687e+00,5.5829940874e+00,3.8252944381e-03,4.9147496462e-05
5.7464349687e+00,6.0878108859e+00,5.9146605446e+00,3.9265024673e-03,5.6029109989e-05
6.0878108859e+00,6.4494667710e+00,6.2660301641e+00,3.9318145744e-03,4.6962776418e-05
6.4494667710e+00,6.8326073872e+00,6.6382734429e+00,4.0511073667e-03,4.4025775442e-05
6.8326073872e+00,7.2385090682e+00,7.0326304134e+00,4.1804202363e-03,4.6158919380e-05
7.2385090682e+00,7.6685239706e+00,7.4504147737e+00,4.3597963751e-03,5.9041124065e-05
7.6685239706e+00,8.1240845779e+00,7.8930182645e+00,4.5104155569e-03,4.6016620580e-05
8.1240845779e+00,8.6067084724e+00,8.3619153049e+00,4.4186575767e-03,5.3005772187e-05
8.6067084724e+00,9.1180033908e+00,8.8586679041e+00,4.4321445056e-03,5.0922673573e-05
9.1180033908e+00,9.6596725801e+00,9.3849308649e+00,4.6249998671e-03,5.4059504921e-05
9.6596725801e+00,1.0233520471e+01,9.9424572964e+00,4.6527431675e-03,5.3343307170e-05
1.0233520471e+01,1.0841458689e+01,1.0533104454e+01,4.8365586402e-03,6.2938427171e-05
1.0841458689e+01,1.1485512424e+01,1.1158839925e+01,4.9014435747e-03,6.5770149225e-05
1.1485512424e+01,1.2167827174e+01,1.1821748186e+01,4.9341467659e-03,5.2361028768e-05
1.2167827174e+01,1.2890675894e+01,1.2524037545e+01,4.9978959997e-03,6.6323457290e-05
1.2890675894e+01,1.3656466568e+01,1.3268047497e+01,5.1311710809e-03,5.2400559006e-05
1.3656466568e+01,1.4467750229e+01,1.4056256519e+01,5.2975337709e-03,6.3271606151e-05
1.4467750229e+01,1.5327229460e+01,1.4891290324e+01,5.4032148996e-03,7.2176557159e-05
1.5327229460e+01,1.6237767392e+01,1.5775930614e+01,5.3872382045e-03,6.9582438682e-05
1.6237767392e+01,1.7202397248e+01,1.6713124337e+01,5.4637346522e-03,5.9505050308e-05
1.7202397248e+01,1.8224332443e+01,1.7705993512e+01,5.7671592609e-03,7.7406172808e-05
1.8224332443e+01,1.9306977289e+01,1.8757845627e+01,5.7149170424e-03,6.2825732728e-05
1.9306977289e+01,2.0453938338e+01,1.9872184655e+01,5.9331084250e-03,6.2829094839e-05
2.0453938338e+01,2.1669036394e+01,2.1052722728e+01,5.9271100721e-03,6.3763878719e-05
2.1669036394e+01,2.2956319242e+01,2.2303392503e+01,6.3192507277e-03,6.5871746986e-05
2.2956319242e+01,2.4320075133e+01,2.3628360264e+01,6.2610154034e-03,6.0095017860e-05
2.4320075133e+01,2.5764847065e+01,2.5032039797e+01,6.3833021192e-03,7.0823573778e-05
2.5764847065e+01,2.7295447924e+01,2.6519107099e+01,6.5575657700e-03,6.5496126243e-05
2.7295447924e+01,2.8916976510e+01,2.8094515950e+01,6.5564745302e-03,7.4690906064e-05
2.8916976510e+01,3.0634834527e+01,2.9763514416e+01,6.9521328351e-03,6.7240410490e-05
3.0634834527e+01,3.2454744574e+01,3.1531662336e+01,6.9235254651e-03,6.1248144455e-05
3.2454744574e+01,3.4382769211e+01,3.3404849835e+01,6.9082843962e-03,7.2427455661e-05
3.4382769211e+01,3.6425331154e+01,3.5389316955e+01,7.0637091285e-03,7.1852948869e-05
3.6425331154e+01,3.8589234670e+01,3.7491674434e+01,7.3024190667e-03,7.0449169494e-05
3.8589234670e+01,4.0881688244e+01,3.9718925733e+01,7.3704818692e-03,7.1837180128e-05
4.0881688244e+01,4.3310328592e+01,4.2078490363e+01,7.5556236013e-03,6.9854278680e-05
4.3310328592e+01,4.5883246101e+01,4.4578228604e+01,7.8598295729e-03,8.5294674760e-05
4.5883246101e+01,4.8609011781e+01,4.7226467688e+01,7.8750925376e-03,7.4071594645e-05
4.8609011781e+01,5.1496705816e+01,5.0032029538e+01,7.9321316534e-03,7.2960520479e-05
5.1496705816e+01,5.4555947812e+01,5.3004260159e+01,8.2387749111e-03,7.3185859945e-05
5.4555947812e+01,5.7796928842e+01,5.6153060767e+01,8.2685975792e-03,7.9317723962e-05
5.7796928842e+01,6.1230445396e+01,5.9488920779e+01,8.5846266438e-03,7.8644525213e-05
6.1230445396e+01,6.4867935348e+01,6.3022952750e+01,8.8986098321e-03,7.4819965424e-05
6.4867935348e+01,6.8721516054e+01,6.6766929392e+01,9.2257524220e-03,7.7566161048e-05
6.8721516054e+01,7.2804024723e+01,7.0733322796e+01,9.1243920868e-03,8.3094922469e-05
7.2804024723e+01,7.7129061176e+01,7.4935345977e+01,9.4947326530e-03,8.3157057883e-05
7.7129061176e+01,8.1711033155e+01,7.9386996888e+01,9.4853129433e-03,8.2882116164e-05
8.1711033155e+01,8.6565204313e+01,8.4103105054e+01,9.6759167074e-03,8.7996493638e-05
8.6565204313e+01,9.1707745067e+01,8.9099380968e+01,9.9821553866e-03,7.9536327587e-05
9.1707745067e+01,9.7155786463e+01,9.4392468432e+01,1.0025385120e-02,8.1429840333e-05
9.7155786463e+01,1.0292747724e+02,1.0000000000e+02,1.0487295547e-02,8.7718100274e-05
1.0292747724e+02,1.0904204430e+02,1.0594065571e+02,1.0425154415e-02,8.0221726508e-05
1.0904204430e+02,1.1551985673e+02,1.1223422533e+02,1.0884502092e-02,9.6686459401e-05
1.1551985673e+02,1.2238249370e+02,1.1890167424e+02,1.0873802562e-02,8.6217108456e-05
1.2238249370e+02,1.2965281630e+02,1.2596521335e+02,1.1338963646e-02,1.0704195235e-04
1.2965281630e+02,1.3735504374e+02,1.3344837299e+02,1.1306822845e-02,8.3759404151e-05
