E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
1.6144330888e+00,1.7103410003e+00,1.6616952501e+00,2.6009957696e-03,4.2076074139e-05
1.7103410003e+00,1.8119464707e+00,1.7604108439e+00,2.6285871057e-03,4.5333337272e-05
1.8119464707e+00,1.9195879722e+00,1.8649907912e+00,2.6531851649e-03,5.1706678709e-05
1.9195879722e+00,2.0336240847e+00,1.9757834732e+00,2.8234740415e-03,4.5650615496e-05
2.0336240847e+00,2.1544346900e+00,2.0931579669e+00,2.8228551364e-03,4.7007119227e-05
2.1544346900e+00,2.2824222375e+00,2.2175052753e+00,2.8808471365e-03,5.1615123331e-05
2.2824222375e+00,2.4180130845e+00,2.3492396290e+00,2.8926787806e-03,4.5571403349e-05
2.4180130845e+00,2.5616589169e+00,2.4887998673e+00,2.9867181707e-03,5.6644447458e-05
2.5616589169e+00,2.7138382537e+00,2.6366508987e+00,3.0741371571e-03,5.9145862288e-05
2.7138382537e+00,2.8750580409e+00,2.7932852509e+00,3.0992106540e-03,5.3634646573e-05
2.8750580409e+00,3.0458553407e+00,2.9592247108e+00,3.1293109228e-03,4.8878229969e-05
3.0458553407e+00,3.2267991199e+00,3.1350220626e+00,3.1996787906e-03,4.7682978800e-05
3.2267991199e+00,3.4184921462e+00,3.3212629298e+00,3.1835425004e-03,4.5129989203e-05
3.4184921462e+00,3.6215729951e+00,3.5185677257e+00,3.2993994727e-03,4.5877997466e-05
3.6215729951e+00,3.8367181781e+00,3.7275937203e+00,3.4978360381e-03,5.0918434687e-05
3.8367181781e+00,4.0646443957e+00,3.9490372296e+00,3.6877142342e-03,5.2944442825e-05
4.0646443957e+00,4.3061109252e+00,4.1836359353e+00,3.5973421786e-03,5.9508408482e-05
4.3061109252e+00,4.5619221498e+00,4.4321713425e+00,3.7069764435e-03,4.6478499165e-05
4.5619221498e+00,4.8329302386e+00,4.6954713825e+00,3.6045739084e-03,4.9090900234e-05
4.8329302386e+00,5.1200379848e+00,4.9744131714e+00,3.7907767055e-03,6.0492233108e-05
5.1200379848e+00,5.4242018138e+00,5.2699259316e+00,3.8746986762e-03,5.3387056369e-05
5.4242018138e+00,5.7464349687e+00,5.5829940874e+00,3.8154339956e-03,4.6177629072e-05
5.7464349687e+00,6.0878108859e+00,5.9146605446e+00,3.9728870063e-03,5.5712512416e-05
6.0878108859e+00,6.4494667710e+00,6.2660301641e+00,3.9964360599e-03,6.3584088511e-05
6.4494667710e+00,6.8326073872e+00,6.6382734429e+00,4.1049046911e-03,5.5698095432e-05
6.8326073872e+00,7.2385090682e+00,7.0326304134e+00,4.2952496232e-03,4.5814617865e-05
7.2385090682e+00,7.6685239706e+00,7.4504147737e+00,4.4450282962e-03,6.0280725483e-05
7.6685239706e+00,8.1240845779e+00,7.8930182645e+00,4.4379406150e-03,5.8189245136e-05
8.1240845779e+00,8.6067084724e+00,8.3619153049e+00,4.4611014192e-03,5.3435939607e-05
8.6067084724e+00,9.1180033908e+00,8.8586679041e+00,4.4882744485e-03,5.2378574435e-05
9.1180033908e+00,9.6596725801e+00,9.3849308649e+00,4.6998342935e-03,5.9600283302e-05
9.6596725801e+00,1.0233520471e+01,9.9424572964e+00,4.8139441011e-03,5.3073134191e-05
1.0233520471e+01,1.0841458689e+01,1.0533104454e+01,4.6381558996e-03,5.4281552751e-05
1.0841458689e+01,1.1485512424e+01,1.1158839925e+01,4.9196842698e-03,5.3511693837e-05
1.1485512424e+01,1.2167827174e+01,1.1821748186e+01,4.8647805156e-03,5.6239338261e-05
1.2167827174e+01,1.2890675894e+01,1.2524037545e+01,5.1399022561e-03,6.6831964020e-05
1.2890675894e+01,1.3656466568e+01,1.3268047497e+01,5.2041010905e-03,6.1341626472e-05
1.3656466568e+01,1.4467750229e+01,1.4056256519e+01,5.3192617237e-03,5.3377061984e-05
